song_name,artist_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent,released_date
Overdrive,Post Malone,1,410,36,14780425,36,32,31,1,26,140,C#,Major,56.00,48.00,73.00,0.00,0.00,35.00,4.00,2023-7-14
Enchanted (Taylor's Version),Taylor Swift,1,148,24,39578178,32,93,8,2,5,82,G#,Major,51.00,22.00,53.00,1.00,0.00,15.00,3.00,2023-7-7
BABY HELLO,"Rauw Alejandro, Bizarrap",2,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77.00,84.00,89.00,17.00,0.00,43.00,5.00,2023-6-23
Heat Waves,Glass Animals,1,22543,63,2557975762,386,144,707,28,"",81,B,Major,76.00,53.00,53.00,44.00,0.00,9.00,9.00,2020-6-28
golden hour,JVKE,1,4511,36,751134527,70,58,109,18,230,94,C#,Minor,51.00,14.00,59.00,65.00,18.00,25.00,3.00,2022-7-15
Sweater Weather,The Neighbourhood,1,16413,61,2282771485,166,87,"1,056",1,"",124,A#,Major,61.00,41.00,81.00,5.00,2.00,10.00,3.00,2012-5-14
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,8506,45,1356565093,94,65,164,14,176,128,D,Major,62.00,55.00,78.00,1.00,3.00,23.00,4.00,2022-7-6
Viva La Vida,Coldplay,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49.00,42.00,62.00,9.00,0.00,11.00,3.00,2008-1-1
Here With Me,d4vd,1,3246,23,635412045,94,85,68,1,84,132,E,Major,58.00,27.00,48.00,50.00,0.00,12.00,3.00,2022-7-17
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,8576,42,1230675890,216,108,331,26,154,131,D,Major,71.00,24.00,47.00,1.00,0.00,27.00,9.00,2022-9-22
Yandel 150,"Yandel, Feid",2,3618,38,585695368,47,74,80,14,194,168,F#,Minor,78.00,58.00,73.00,5.00,0.00,10.00,7.00,2022-12-20
CORAZï¿½ï¿½N VA,Maria Becerra,1,370,20,43857627,12,16,18,4,93,98,C#,Major,68.00,40.00,79.00,33.00,0.00,30.00,6.00,2023-6-22
Riptide,Vance Joy,1,31123,55,2009094673,300,65,"1,003",1,0,102,C#,Major,48.00,50.00,73.00,43.00,0.00,15.00,4.00,1975-1-1
Until I Found You (with Em Beihold) - Em Beihold V,"Em Beihold, Stephen Sanchez",2,2790,30,600976848,60,96,71,0,115,101,A#,Major,34.00,32.00,57.00,78.00,0.00,20.00,3.00,2022-4-22
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,267,9,39709092,9,6,25,2,72,130,F,Major,63.00,36.00,34.00,76.00,0.00,35.00,9.00,2023-6-23
Back To December (Taylor's Version),Taylor Swift,1,139,17,39228929,16,72,5,0,8,142,D,Major,50.00,20.00,64.00,1.00,0.00,12.00,3.00,2023-7-7
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,17050,36,2665343922,492,99,798,31,0,170,C#,Major,59.00,48.00,76.00,4.00,0.00,10.00,5.00,2021-7-9
El Merengue,"Marshmello, Manuel Turizo",2,2114,44,223633238,80,75,110,11,323,124,G#,Minor,78.00,70.00,68.00,3.00,1.00,11.00,4.00,2023-3-3
Someone You Loved,Lewis Capaldi,1,17836,53,2887241814,440,125,"1,800",0,"",110,C#,Major,50.00,45.00,41.00,75.00,0.00,11.00,3.00,2018-11-8
